,Name,Genre,Year_of_Release,Publisher,Global_Sales,Critic_Score,User_Score
176,The Lord of the Rings: The Return of the King,Action,2003,Electronic Arts,5.67,85.0,91.0
177,Madden NFL 16,Sports,2015,Electronic Arts,5.66,84.0,61.0
178,Tomb Raider,Action,1996,Eidos Interactive,5.66,91.0,86.0
179,Harry Potter and the Chamber of Secrets,Action,2002,Electronic Arts,5.659999999999999,77.0,84.0
180,NBA 2K13,Sports,2012,Take-Two Interactive,5.630000000000001,90.0,80.0
181,Cooking Mama,Simulation,2006,505 Games,5.63,67.0,72.0
182,Saints Row: The Third,Action,2011,THQ,5.61,84.0,81.0
183,Mortal Kombat,Fighting,2011,Warner Bros. Interactive Entertainment,5.59,86.0,84.0
184,Star Wars Episode III: Revenge of the Sith,Action,2005,Ubisoft,5.579999999999999,73.0,81.0
185,Batman: Arkham Knight,Action,2015,Warner Bros. Interactive Entertainment,5.57,87.0,76.0
186,Star Wars: Battlefront,Shooter,2004,LucasArts,5.569999999999999,82.0,91.0
187,Fight Night Round 3,Fighting,2006,Electronic Arts,5.550000000000001,86.0,90.0
188,Winning Eleven: Pro Evolution Soccer 2007,Sports,2006,Konami Digital Entertainment,5.52,86.0,89.0
189,Forza Motorsport 3,Racing,2009,Microsoft Game Studios,5.49,92.0,80.0
190,Super Mario Advance,Platform,2001,Nintendo,5.49,84.0,78.0
191,Monster Hunter Freedom Unite,Role-Playing,2008,Capcom,5.48,81.0,87.0
192,Mario Kart: Super Circuit,Racing,2001,Nintendo,5.47,93.0,83.0
193,Sonic Heroes,Platform,2003,Sega,5.460000000000001,73.0,78.0
194,Need For Speed: Undercover,Racing,2008,Electronic Arts,5.4399999999999995,65.0,68.0
195,Mass Effect 3,Role-Playing,2012,Electronic Arts,5.43,93.0,58.0
196,Fable III,Role-Playing,2010,Microsoft Game Studios,5.42,80.0,65.0
197,Skylanders Giants,Action,2012,Activision,5.390000000000001,80.0,70.0
198,Uncharted 4: A Thief's End,Shooter,2016,Sony Computer Entertainment,5.38,93.0,79.0
199,Need for Speed: Shift,Racing,2009,Electronic Arts,5.359999999999999,84.0,69.0
200,Resident Evil 4,Action,2005,Capcom,5.340000000000001,96.0,94.0
201,MySims,Simulation,2007,Electronic Arts,5.340000000000001,70.0,73.0
202,Final Fantasy IX,Role-Playing,2000,SquareSoft,5.3,94.0,89.0
203,Final Fantasy X-2,Role-Playing,2003,Electronic Arts,5.29,85.0,66.0
204,Madden NFL 2003,Sports,2002,Electronic Arts,5.279999999999999,95.0,85.0
205,Call of Duty 3,Shooter,2006,Activision,5.2700000000000005,82.0,74.0
206,Skylanders: Spyro's Adventure,Action,2011,Activision,5.26,82.0,56.0
207,New Super Mario Bros. U,Platform,2012,Nintendo,5.22,84.0,81.0
208,Resident Evil 6,Shooter,2012,Capcom,5.22,74.0,67.0
209,True Crime: Streets of LA,Action,2003,Activision,5.210000000000001,77.0,80.0
210,Dragon Quest VIII: Journey of the Cursed King,Role-Playing,2004,Square Enix,5.21,89.0,88.0
211,Professor Layton and the Curious Village,Puzzle,2007,Nintendo,5.19,85.0,86.0
212,James Bond 007: Agent Under Fire,Shooter,2001,Electronic Arts,5.1499999999999995,74.0,79.0
213,Kung Fu Panda,Action,2008,Activision,5.13,76.0,86.0
214,The Legend of Zelda: Phantom Hourglass,Action,2007,Nintendo,5.08,90.0,80.0
215,Madden NFL 11,Sports,2010,Electronic Arts,5.07,84.0,61.0
216,James Bond 007: Nightfire,Shooter,2002,Electronic Arts,5.0600000000000005,80.0,86.0
217,Resident Evil,Action,1996,Virgin Interactive,5.05,91.0,90.0
218,Tony Hawk's Pro Skater,Sports,1999,Activision,5.02,92.0,92.0
219,FIFA Soccer 06,Sports,2005,Electronic Arts,5.0,80.0,78.0
220,Need for Speed Rivals,Racing,2013,Electronic Arts,4.98,80.0,62.0
221,Link's Crossbow Training,Shooter,2007,Nintendo,4.98,68.0,71.0
222,Madden NFL 12,Sports,2011,Electronic Arts,4.9399999999999995,79.0,59.0
223,Mass Effect 2,Role-Playing,2010,Electronic Arts,4.9399999999999995,96.0,89.0
224,Uncharted: Drake's Fortune,Action,2007,Sony Computer Entertainment,4.92,88.0,81.0
225,Assassin's Creed Syndicate,Action,2015,Ubisoft,4.9,78.0,68.0
226,NBA 2K12,Sports,2011,Take-Two Interactive,4.890000000000001,90.0,77.0
227,Sonic Unleashed,Platform,2008,Sega,4.89,66.0,79.0
228,Guitar Hero 5,Misc,2009,Activision,4.89,89.0,69.0
229,FIFA Soccer 2005,Sports,2004,Electronic Arts,4.89,81.0,87.0
230,Titanfall,Shooter,2014,Electronic Arts,4.870000000000001,86.0,64.0
231,Dead Island,Action,2011,Deep Silver,4.86,80.0,69.0
232,WWE SmackDown vs. Raw 2009,Fighting,2008,THQ,4.859999999999999,79.0,85.0
233,StarCraft II: Wings of Liberty,Strategy,2010,Activision,4.84,93.0,82.0
234,Enter the Matrix,Action,2003,Atari,4.83,65.0,81.0
235,Midnight Club: Los Angeles,Racing,2008,Take-Two Interactive,4.800000000000001,82.0,85.0
236,God of War III,Action,2010,Sony Computer Entertainment,4.8,92.0,87.0
237,Crash Team Racing,Racing,1999,Sony Computer Entertainment,4.79,88.0,90.0
238,Batman: Arkham Origins,Action,2013,Warner Bros. Interactive Entertainment,4.789999999999999,76.0,77.0
239,Saints Row 2,Action,2008,THQ,4.75,82.0,81.0
240,Dragon Age: Origins,Role-Playing,2009,Electronic Arts,4.74,91.0,86.0
241,Driver 2,Action,2000,Atari,4.73,62.0,77.0
